Table 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Total area actually reporting,1,334,7,58,29,240,2826,490,2127,209
,"Rate per 100,000 inhabitants",,220.4,4.6,38.3,19.1,158.4,1864.7,323.3,1403.5,137.9
"Johnson City, TN M.S.A.",,203289, ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,67197,286,1,28,38,219,2390,301,1904,185
,Total area actually reporting,1,668,3,59,47,559,4498,712,3330,456
,"Rate per 100,000 inhabitants",,328.6,1.5,29,23.1,275,2212.6,350.2,1638.1,224.3
"Jonesboro, AR M.S.A.",,133624, ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,78261,537,13,74,58,392,2982,1092,1758,132
,Total area actually reporting,0.987,733,15,131,65,522,4077,1405,2440,232
,Estimated total,1,743,15,133,66,529,4116,1414,2467,235
,"Rate per 100,000 inhabitants",,556,11.2,99.5,49.4,395.9,3080.3,1058.2,1846.2,175.9
"Joplin, MO M.S.A.",,179103, ,,,,, ,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,50635,307,2,63,63,179,3677,521,2815,341
,Total area actually reporting,1,593,3,107,83,400,6555,1028,4863,664
,"Rate per 100,000 inhabitants",,331.1,1.7,59.7,46.3,223.3,3659.9,574,2715.2,370.7
"Kahului-Wailuku-Lahaina, HI M.S.A.",,167475,,,,,,,,,
,Includes Maui County,, ,,,,,,,,
,Total area actually reporting,1,449,1,110,67,271,4984,577,3746,661
,"Rate per 100,000 inhabitants",,268.1,0.6,65.7,40,161.8,2976,344.5,2236.8,394.7
"Kalamazoo-Portage, MI M.S.A.",,266016,,,,,,,,,
,Includes Kalamazoo County,, ,,,,,,,,
,City of Kalamazoo,76827,949,9,110,182,648,3578,703,2546,329
,City of Portage,49583,136,0,30,14,92,1549,204,1279,66
,Total area actually reporting,0.992,1518,12,225,259,1022,8555,1556,6288,711
,Estimated total,1,1523,12,226,259,1026,8583,1560,6311,712
,"Rate per 100,000 inhabitants",,572.5,4.5,85,97.4,385.7,3226.5,586.4,2372.4,267.7
"Kankakee, IL M.S.A.",,109111,,,,,,,,,
,Includes Kankakee County,, ,,,,,,,,
,City of Kankakee,25872,236,4,29,53,150,873,156,675,42
,Total area actually reporting,0.986,423,5,58,90,270,2072,297,1690,85
,Estimated total,1,424,5,58,90,271,2096,301,1709,86
,"Rate per 100,000 inhabitants",,388.6,4.6,53.2,82.5,248.4,1921,275.9,1566.3,78.8
"Kennewick-Richland, WA M.S.A.",,300701,,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,84072,253,2,54,49,148,2487,378,1907,202
,City of Richland,58514,100,2,24,9,65,1199,195,949,55
,Total area actually reporting,1,660,8,136,111,405,5851,945,4391,515
,"Rate per 100,000 inhabitants",,219.5,2.7,45.2,36.9,134.7,1945.8,314.3,1460.3,171.3
"Killeen-Temple, TX M.S.A.3",,454647,,,,,,,,,
,"Includes Bell, Coryell, and Lampasas3 Counties",,,,,,,,,,
,City of Killeen,151832,583,14,105,124,340,3432,818,2296,318
,City of Temple,77558,217,4,61,39,113,1718,244,1276,198
,Total area actually reporting,0.993,1196,19,259,201,717,8187,1615,5916,656
,Estimated total,1,1202,19,259,201,723,8231,1624,5946,661
,"Rate per 100,000 inhabitants",,264.4,4.2,57,44.2,159,1810.4,357.2,1307.8,145.4
"Kingsport-Bristol, TN-VA M.S.A.",,305838,,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN",54218,332,3,22,35,272,2829,324,2232,273
,"City of Bristol, TN",26900,135,1,15,12,107,813,138,604,71
,Total area actually reporting,1,920,14,107,74,725,7019,1097,5154,768
,"Rate per 100,000 inhabitants",,300.8,4.6,35,24.2,237.1,2295,358.7,1685.2,251.1
"Kingston, NY M.S.A.",,177151, ,,,,, ,,,
,Includes Ulster County,,,,,,,,,,
,City of Kingston,22844,68,2,13,10,43,498,59,419,20
,Total area actually reporting,0.896,249,4,72,19,154,1740,234,1439,67
,Estimated total,1,266,4,75,22,165,1932,253,1604,75
,"Rate per 100,000 inhabitants",,150.2,2.3,42.3,12.4,93.1,1090.6,142.8,905.4,42.3
"Knoxville, TN M.S.A.",,866295, ,,,,, ,,,
,"Includes Anderson, Blount, Campbell, Knox, Loudon, Morgan, Roane, and Union Counties",,,,,,,,,,
,City of Knoxville,188666,1259,22,146,232,859,8207,1157,6067,983
,Total area actually reporting,1,3064,35,370,322,2337,18423,3036,13115,2272
,"Rate per 100,000 inhabitants",,353.7,4,42.7,37.2,269.8,2126.6,350.5,1513.9,262.3
"Kokomo, IN M.S.A.",,82480, ,,,,, ,,,
,Includes Howard County,,,,,,,,,,
,City of Kokomo,57845,392,5,25,48,314,1493,312,1081,100
,Total area actually reporting,0.987,455,5,31,53,366,1625,342,1172,111
,Estimated total,1,458,5,31,54,368,1651,345,1193,113
,"Rate per 100,000 inhabitants",,555.3,6.1,37.6,65.5,446.2,2001.7,418.3,1446.4,137
"La Crosse-Onalaska, WI-MN M.S.A.3",,136997, ,,,,, ,,,
,"Includes Houston County,3 MN and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI",51591,122,2,27,26,67,1850,226,1561,63
,"City of Onalaska, WI",18825,10,0,2,2,6,522,24,491,7
,Total area actually reporting,1,169,2,31,28,108,2820,337,2391,92
,"Rate per 100,000 inhabitants",,123.4,1.5,22.6,20.4,78.8,2058.4,246,1745.3,67.2
"Lafayette, LA M.S.A.",,489368, ,,,,, ,,,
,"Includes Acadia, Iberia, Lafayette, St. Martin, and Vermilion Parishes",,,,,,,,,,
,City of Lafayette,126694,664,14,16,148,486,5454,1032,4101,321
,Total area actually reporting,0.833,1726,31,98,257,1340,11013,2399,7963,651
,Estimated total,1,2283,38,124,335,1786,14108,3031,10246,831
,"Rate per 100,000 inhabitants",,466.5,7.8,25.3,68.5,365,2882.9,619.4,2093.7,169.8
"Lafayette-West Lafayette, IN M.S.A.",,233135, ,,,,, ,,,
,"Includes Benton, Carroll, Tippecanoe, and Warren Counties",,,,,,,,,,
,City of Lafayette,72585,352,5,38,55,254,2388,387,1844,157
,City of West Lafayette,49154,32,0,5,3,24,357,42,304,11
,Total area actually reporting,0.831,451,8,67,69,307,3573,580,2778,215
,Estimated total,1,520,8,73,78,361,3960,649,3059,252
,"Rate per 100,000 inhabitants",,223,3.4,31.3,33.5,154.8,1698.6,278.4,1312.1,108.1
"Lake Charles, LA M.S.A.",,210155, ,,,,, ,,,
,Includes Calcasieu and Cameron Parishes,,,,,,,,,,
,City of Lake Charles,78733,413,11,52,83,267,2907,1212,1467,228
,Total area actually reporting,0.952,1099,15,144,128,812,7991,2311,5073,607
,Estimated total,1,1151,19,145,130,857,8189,2349,5222,618
,"Rate per 100,000 inhabitants",,547.7,9,69,61.9,407.8,3896.6,1117.7,2484.8,294.1
"Lake Havasu City-Kingman, AZ M.S.A.",,210855, ,,,,, ,,,
,Includes Mohave County,,,,,,,,,,
,City of Lake Havasu City,55413,87,1,29,3,54,670,108,519,43
,City of Kingman,30600,100,0,9,12,79,1342,208,1039,95
,Total area actually reporting,0.977,452,6,67,59,320,5347,1124,3736,487
,Estimated total,1,485,6,69,63,347,5564,1171,3887,506
,"Rate per 100,000 inhabitants",,230,2.8,32.7,29.9,164.6,2638.8,555.4,1843.4,240
"Lakeland-Winter Haven, FL M.S.A.",,717190,,,,,,,,,
,Includes Polk County,, ,,,,,,,,
,City of Lakeland,112237,350,7,63,97,183,3230,438,2589,203
,City of Winter Haven,44211,187,3,22,25,137,1126,181,884,61
,Total area actually reporting,1,1990,23,166,300,1501,11797,1947,8914,936
,"Rate per 100,000 inhabitants",,277.5,3.2,23.1,41.8,209.3,1644.9,271.5,1242.9,130.5
"Lansing-East Lansing, MI M.S.A.4",,550643,,,,,,,,,
,"Includes Clinton, Eaton, Ingham, and Shiawassee Counties",, ,,,,,,,,
,City of Lansing,118953,1313,12,140,178,983,3355,763,2225,367
,City of East Lansing,47913,88,0,40,11,37,840,113,563,164
,Total area actually reporting,1,2367,19,489,268,1591,,,6637,864
,"Rate per 100,000 inhabitants",,429.9,3.5,88.8,48.7,288.9,,,1205.3,156.9
"Laredo, TX M.S.A.3",,277386, ,,,,, ,,,
,Includes Webb County,,,,,,,,,,
,City of Laredo3,264916,836,4,104,164,564,4692,708,3726,258
,Total area actually reporting,0.983,882,6,108,167,601,4944,767,3862,315
,Estimated total,1,893,6,110,168,609,5037,782,3932,323
,"Rate per 100,000 inhabitants",,321.9,2.2,39.7,60.6,219.5,1815.9,281.9,1417.5,116.4
"Las Cruces, NM M.S.A.",,218180, ,,,,, ,,,
,Includes Dona Ana County,,,,,,,,,,
,City of Las Cruces,103520,514,10,64,57,383,3707,654,2746,307
,Estimated total,1,1215,12,124,69,1010,5049,1070,3548,431
,"Rate per 100,000 inhabitants",,556.9,5.5,56.8,31.6,462.9,2314.1,490.4,1626.2,197.5
"Las Vegas-Henderson-Paradise, NV M.S.A.",,2270103,,,,,,,,,
,Includes Clark County,, ,,,,,,,,
,City of Las Vegas Metropolitan Police Department,1666803,8854,84,1439,2118,5213,46197,10646,28240,7311
,City of Henderson,317732,543,9,75,191,268,5554,907,4093,554
,Total area actually reporting,1,11935,112,1661,2808,7354,58207,13003,36145,9059
,"Rate per 100,000 inhabitants",,525.7,4.9,73.2,123.7,324,2564.1,572.8,1592.2,399.1
"Lawton, OK M.S.A.3",,125205, ,,,,, ,,,
,Includes Comanche and Cotton Counties,,,,,,,,,,
,City of Lawton,92256,854,15,97,91,651,2972,877,1836,259
,Total area actually reporting,1,897,16,105,96,680,3338,1010,2016,312
,"Rate per 100,000 inhabitants",,716.4,12.8,83.9,76.7,543.1,2666,806.7,1610.2,249.2
"Lebanon, PA M.S.A.",,142102, ,,,,, ,,,
,Includes Lebanon County,,,,,,,,,,
,City of Lebanon,25959,65,1,5,21,38,528,77,430,21
,Total area actually reporting,0.979,233,1,35,22,175,1653,189,1420,44
,Estimated total,1,237,1,35,22,179,1683,192,1445,46
,"Rate per 100,000 inhabitants",,166.8,0.7,24.6,15.5,126,1184.4,135.1,1016.9,32.4
"Lewiston, ID-WA M.S.A.",,63370,,,,,,,,,
,"Includes Nez Perce County, ID and Asotin County, WA",, ,,,,,,,,
,"City of Lewiston, ID",32931,42,0,15,2,25,955,145,755,55
,Total area actually reporting,1,88,1,30,6,51,1525,239,1207,79
,"Rate per 100,000 inhabitants",,138.9,1.6,47.3,9.5,80.5,2406.5,377.2,1904.7,124.7
"Lewiston-Auburn, ME M.S.A.",,108026,,,,,,,,,
,Includes Androscoggin County,, ,,,,,,,,
,City of Lewiston,35865,107,0,31,18,58,716,122,555,39
,City of Auburn,23214,34,1,13,5,15,511,56,445,10
,Total area actually reporting,1,186,1,65,25,95,1454,219,1170,65
,"Rate per 100,000 inhabitants",,172.2,0.9,60.2,23.1,87.9,1346,202.7,1083.1,60.2
"Lexington-Fayette, KY M.S.A.",,520442, ,,,,, ,,,
,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,
,City of Lexington,326070,967,26,175,362,404,9776,1537,7333,906
,Total area actually reporting,1,1200,27,235,417,521,14148,2156,10732,1260
,"Rate per 100,000 inhabitants",,230.6,5.2,45.2,80.1,100.1,2718.5,414.3,2062.1,242.1
"Lima, OH M.S.A.2",,102023, ,,,,, ,,,
,Includes Allen County,,,,,,,,,,
,City of Lima,36653,259,4,59,64,132,1493,392,1037,64
,Total area actually reporting,0.938,311,5,76,80,150,2374,543,1724,107
,Estimated total,1,322,5,79,82,156,2480,558,1810,112
,"Rate per 100,000 inhabitants",,315.6,4.9,77.4,80.4,152.9,2430.8,546.9,1774.1,109.8
"Lincoln, NE M.S.A.",,337340, ,,,,, ,,,
,Includes Lancaster and Seward Counties,,,,,,,,,,
,City of Lincoln,291128,1115,5,323,166,621,8008,988,6566,454
,Total area actually reporting,0.994,1149,5,345,166,633,8394,1043,6863,488
,Estimated total,1,1170,5,359,166,640,8423,1043,6892,488
,"Rate per 100,000 inhabitants",,346.8,1.5,106.4,49.2,189.7,2496.9,309.2,2043,144.7
"Little Rock-North Little Rock-Conway, AR M.S.A.4",,743875,,,,,,,,,
,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline4 Counties",,,,,,,,,,
,City of Little Rock,198382,3009,38,209,391,2371,12145,1760,9316,1069
,City of North Little Rock,66604,562,12,23,106,421,2479,380,1723,376
,City of Conway,67336,324,2,49,51,222,1842,177,1567,98
,Total area actually reporting,0.999,5815,75,539,689,4512,,,,2586
,Estimated total,1,5819,75,540,689,4515,,,,2587
,"Rate per 100,000 inhabitants",,782.3,10.1,72.6,92.6,607,,,,347.8
"Logan, UT-ID M.S.A.",,142499, ,,,,, ,,,
,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,
,"City of Logan, UT",52029,113,3,35,5,70,691,105,549,37
,Total area actually reporting,0.915,169,6,70,6,87,1163,173,899,91
,Estimated total,1,183,6,75,7,95,1313,195,1014,104
,"Rate per 100,000 inhabitants",,128.4,4.2,52.6,4.9,66.7,921.4,136.8,711.6,73
"Longview, TX M.S.A.3, 4",,285060,,,,,,,,,
,"Includes Gregg, Harrison, Rusk, and Upshur Counties",,,,,,,,,,
,City of Longview,81783,374,4,62,63,245,2410,411,1809,190
,Total area actually reporting,0.997,922,20,128,113,661,,1362,,529
,Estimated total,1,924,20,128,113,663,,1365,,530
,"Rate per 100,000 inhabitants",,324.1,7,44.9,39.6,232.6,,478.8,,185.9
"Longview, WA M.S.A.",,109465,,,,,,,,,
,Includes Cowlitz County,, ,,,,,,,,
,City of Longview,38282,101,1,30,19,51,1102,159,841,102
,Total area actually reporting,1,213,5,71,26,111,2054,343,1521,190
,"Rate per 100,000 inhabitants",,194.6,4.6,64.9,23.8,101.4,1876.4,313.3,1389.5,173.6
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",,13236726,,,,,,,,,
,Includes the Metropolitan Divisions of Anaheim-Santa Ana-Irvine and Los Angeles-Long Beach-Glendale ,,,,,,,,,,
,City of Los Angeles,4015546,29400,258,2274,9652,17216,95704,13809,66253,15642
,City of Long Beach,467974,2369,34,249,958,1128,11297,2185,6754,2358
,City of Anaheim,353915,1120,8,141,396,575,8258,1123,5904,1231
,City of Santa Ana,333664,1453,13,207,472,761,6808,854,4611,1343
,City of Irvine,292673,188,1,52,66,69,3823,574,3086,163
,City of Glendale,202601,231,5,16,93,117,3305,480,2562,263
,City of Torrance,145183,280,3,26,114,137,2853,399,2161,293
,City of Pasadena,141913,613,4,46,147,416,2866,570,2036,260
,City of Orange,139830,180,3,18,76,83,2184,387,1546,251
,City of Costa Mesa,114047,312,0,52,104,156,3739,450,2934,355
,City of Burbank,103738,189,1,11,54,123,2617,299,2107,211
,City of Carson,91947,444,5,31,122,286,2004,328,1277,399
,City of Santa Monica,91621,664,3,40,247,374,3964,577,3143,244
,City of Newport Beach,85325,135,5,29,32,69,1764,273,1344,147
,City of Tustin,80356,141,1,16,61,63,2118,241,1694,183
,City of Gardena,59833,324,3,20,131,170,1202,236,658,308
,City of Arcadia,58899,84,1,10,35,38,1348,301,973,74
,City of Fountain Valley,55858,53,0,5,23,25,1163,163,914,86
,Total area actually reporting,1,63201,565,5063,20816,36757,283364,46511,192723,44130
,"Rate per 100,000 inhabitants",,477.5,4.3,38.2,157.3,277.7,2140.7,351.4,1456,333.4
"Anaheim-Santa Ana-Irvine, CA M.D.",,3180759,,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,1,6797,57,894,2209,3637,59186,8529,43956,6701
,"Rate per 100,000 inhabitants",,213.7,1.8,28.1,69.4,114.3,1860.8,268.1,1381.9,210.7
"Los Angeles-Long Beach-Glendale, CA M.D.",,10055967,,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,1,56404,508,4169,18607,33120,224178,37982,148767,37429
,"Rate per 100,000 inhabitants",,560.9,5.1,41.5,185,329.4,2229.3,377.7,1479.4,372.2
"Louisville/Jefferson County, KY-IN M.S.A.",,1269402, ,,,,, ,,,
,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Oldham, Shelby, and Spencer Counties, KY",,,,,,,,,,
,"City of Louisville Metro, KY",675501,4640,94,201,1008,3337,26287,4316,18037,3934
,Total area actually reporting,0.907,5345,103,306,1159,3777,34835,5482,24355,4998
,Estimated total,1,5545,105,330,1191,3919,36356,5686,25538,5132
,"Rate per 100,000 inhabitants",,436.8,8.3,26,93.8,308.7,2864,447.9,2011.8,404.3
"Lubbock, TX M.S.A.3",,320574, ,,,,, ,,,
,"Includes Crosby, Lubbock, and Lynn3 Counties",,,,,,,,,,
,City of Lubbock,259208,2613,10,268,468,1867,11940,2391,8324,1225
,Total area actually reporting,0.99,2682,11,285,472,1914,12898,2601,8971,1326
,Estimated total,1,2688,11,285,472,1920,12941,2609,9001,1331
,"Rate per 100,000 inhabitants",,838.5,3.4,88.9,147.2,598.9,4036.8,813.9,2807.8,415.2
"Lynchburg, VA M.S.A.",,263190, ,,,,, ,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Lynchburg City",,,,,,,,,,
,City of Lynchburg,82512,316,2,35,60,219,1802,261,1382,159
,Total area actually reporting,1,607,10,80,80,437,3832,541,3010,281
,"Rate per 100,000 inhabitants",,230.6,3.8,30.4,30.4,166,1456,205.6,1143.7,106.8
"Macon-Bibb County, GA M.S.A.3",,229193, ,,,,, ,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties3",,,,,,,,,,
,Total area actually reporting,1,1042,21,56,298,667,7931,1645,5589,697
,"Rate per 100,000 inhabitants",,454.6,9.2,24.4,130,291,3460.4,717.7,2438.6,304.1
"Madera, CA M.S.A.",,157191, ,,,,, ,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,66250,334,2,32,77,223,1301,235,824,242
,Total area actually reporting,1,830,3,68,94,665,2693,682,1595,416
,"Rate per 100,000 inhabitants",,528,1.9,43.3,59.8,423.1,1713.2,433.9,1014.7,264.6
"Madison, WI M.S.A.3",,666719, ,,,,, ,,,
,"Includes Columbia, Dane, Green,3 and Iowa Counties",,,,,,,,,,
,City of Madison,261270,940,4,107,217,612,6464,1046,4873,545
,Total area actually reporting,0.999,1445,8,201,291,945,11164,1686,8594,884
,Estimated total,1,1452,8,207,291,946,11432,1733,8811,888
,"Rate per 100,000 inhabitants",,217.8,1.2,31,43.6,141.9,1714.7,259.9,1321.5,133.2
"Manchester-Nashua, NH M.S.A.",,416493,,,,,,,,,
,Includes Hillsborough County,, ,,,,,,,,
,City of Manchester,112895,678,6,62,133,477,2678,299,2225,154
,City of Nashua,89586,129,1,69,20,39,1151,81,1016,54
,Total area actually reporting,0.983,942,11,186,168,577,5147,537,4344,266
,Estimated total,1,957,11,190,170,586,5435,546,4621,268
,"Rate per 100,000 inhabitants",,229.8,2.6,45.6,40.8,140.7,1304.9,131.1,1109.5,64.3
"Manhattan, KS M.S.A.4",,130661,,,,,,,,,
,"Includes Geary, Pottawatomie, and Riley4 Counties",, ,,,,,,,,
,Total area actually reporting,1,563,4,67,41,451,,,1701,170
,"Rate per 100,000 inhabitants",,430.9,3.1,51.3,31.4,345.2,,,1301.8,130.1
"Mankato, MN M.S.A.3",,102065,,,,,,,,,
,Includes Blue Earth and Nicollet Counties,, ,,,,,,,,
,City of Mankato,42955,110,0,29,12,69,1462,186,1217,59
,Total area actually reporting,1,182,0,58,15,109,1938,267,1579,92
,"Rate per 100,000 inhabitants",,178.3,0,56.8,14.7,106.8,1898.8,261.6,1547.1,90.1
"Mansfield, OH M.S.A.",,120502,,,,,, ,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,46418,187,3,48,38,98,1996,396,1523,77
,Total area actually reporting,0.985,272,4,90,46,132,3250,618,2514,118
,Estimated total,1,276,4,91,47,134,3309,622,2567,120
,"Rate per 100,000 inhabitants",,229,3.3,75.5,39,111.2,2746,516.2,2130.3,99.6
"McAllen-Edinburg-Mission, TX M.S.A.3",,871926,,,,,,,,,
,Includes Hidalgo County3,,,,,,,,,,
,City of McAllen,144915,140,1,33,39,67,3595,152,3415,28
,City of Edinburg,100896,281,6,53,40,182,2959,335,2577,47
,City of Mission,85705,105,1,37,23,44,1618,161,1387,70
,Total area actually reporting,0.99,2324,19,433,334,1538,19108,2505,15830,773
,Estimated total,1,2345,19,436,337,1553,19284,2533,15963,788
,"Rate per 100,000 inhabitants",,268.9,2.2,50,38.7,178.1,2211.7,290.5,1830.8,90.4
"Memphis, TN-MS-AR M.S.A.2, 3",,1344796, ,,,,, ,,,
,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica2 Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,"City of Memphis, TN",650410,12367,190,468,2432,9277,39860,7833,27981,4046
,Total area actually reporting,0.958,14888,235,668,2777,11208,53652,10136,37935,5581
,Estimated total,1,15068,237,706,2785,11340,54510,10341,38501,5668
,"Rate per 100,000 inhabitants",,1120.5,17.6,52.5,207.1,843.3,4053.4,769,2863,421.5
"Merced, CA M.S.A.",,274771, ,,,,, ,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,83854,540,5,34,103,398,2342,396,1439,507
,Total area actually reporting,1,1520,12,82,202,1224,6898,1418,4089,1391
,"Rate per 100,000 inhabitants",,553.2,4.4,29.8,73.5,445.5,2510.5,516.1,1488.1,506.2
"Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",,6235390,,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Sunrise, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach",,,,,,,,,,
,City of Miami,480505,2850,43,152,769,1886,17624,1771,14219,1634
,City of Fort Lauderdale,184765,1098,21,93,408,576,9082,1275,6945,862
,City of Pompano Beach,113536,900,8,73,317,502,4277,661,3058,558
,City of West Palm Beach,112798,859,17,79,304,459,4231,464,3314,453
,City of Boca Raton,101163,186,3,36,63,84,2183,244,1769,170
,City of Sunrise,96919,191,4,17,63,107,2014,157,1673,184
,City of Miami Beach,92185,852,6,92,284,470,6977,717,5894,366
,City of Deerfield Beach,81602,351,6,31,99,215,2161,211,1703,247
,City of Boynton Beach,79360,566,4,30,120,412,2618,254,2147,217
,City of Delray Beach,70509,336,5,33,87,211,2418,299,1914,205
,City of Jupiter,66906,118,2,17,22,77,1035,79,895,61
,City of Doral,64168,62,1,9,13,39,1475,66,1287,122
,City of Palm Beach Gardens,57236,78,1,9,22,46,1295,71,1173,51
,City of Coral Gables,51530,50,0,4,17,29,1343,157,1103,83
,Total area actually reporting,1,26314,399,2208,7107,16600,167498,16910,135086,15502
,"Rate per 100,000 inhabitants",,422,6.4,35.4,114,266.2,2686.2,271.2,2166.4,248.6
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,1963433,,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,1,7332,110,692,2134,4396,50026,5481,39400,5145
,"Rate per 100,000 inhabitants",,373.4,5.6,35.2,108.7,223.9,2547.9,279.2,2006.7,262
"Miami-Miami Beach-Kendall, FL M.D.",,2775173,,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,1,13339,202,955,3649,8533,85544,7936,69952,7656
,"Rate per 100,000 inhabitants",,480.7,7.3,34.4,131.5,307.5,3082.5,286,2520.6,275.9
"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",,1496784,,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,1,5643,87,561,1324,3671,31928,3493,25734,2701
,"Rate per 100,000 inhabitants",,377,5.8,37.5,88.5,245.3,2133.1,233.4,1719.3,180.5
"Midland, MI M.S.A.",,82943, ,,,,, ,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,41791,56,1,21,4,30,392,36,344,12
,Total area actually reporting,1,118,1,58,4,55,660,92,545,23
,"Rate per 100,000 inhabitants",,142.3,1.2,69.9,4.8,66.3,795.7,110.9,657.1,27.7
"Milwaukee-Waukesha, WI M.S.A.3",,1576634,,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,590923,7874,97,427,1911,5439,15097,3594,8053,3450
,City of Waukesha,72718,67,1,25,8,33,690,77,575,38
,Total area actually reporting,1,9111,111,631,2151,6218,30333,4820,21346,4167
,"Rate per 100,000 inhabitants",,577.9,7,40,136.4,394.4,1923.9,305.7,1353.9,264.3
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.3",,3643083,,,,,,,,,
,"Includes Anoka,3 Carver, Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN3",431016,3990,46,459,1289,2196,19469,3397,13172,2900
,"City of St. Paul, MN",310263,1752,28,236,542,946,11208,2038,6751,2419
,"City of Bloomington, MN",85902,203,3,54,61,85,3079,183,2731,165
,"City of Plymouth, MN",80616,37,0,8,5,24,938,152,742,44
,"City of Eagan, MN",66824,39,0,12,12,15,1294,93,1129,72
,"City of Eden Prairie, MN",64777,52,0,13,14,25,700,68,610,22
,"City of Minnetonka, MN",54497,30,0,8,7,15,772,91,643,38
,"City of Edina, MN",53076,47,0,15,15,17,983,140,794,49
,Total area actually reporting,0.999,9923,97,1626,2851,5349,84941,11059,64891,8991
,Estimated total,1,9926,97,1627,2851,5351,84987,11062,64932,8993
,"Rate per 100,000 inhabitants",,272.5,2.7,44.7,78.3,146.9,2332.8,303.6,1782.3,246.9
"Missoula, MT M.S.A.",,119655, ,,,,, ,,,
,Includes Missoula County,,,,,,,,,,
,City of Missoula,75422,310,3,75,27,205,3082,342,2565,175
,Total area actually reporting,1,418,3,88,28,299,3355,410,2740,205
,"Rate per 100,000 inhabitants",,349.3,2.5,73.5,23.4,249.9,2803.9,342.7,2289.9,171.3
"Modesto, CA M.S.A.",,549632, ,,,,, ,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,216542,1758,13,94,399,1252,7183,1149,4849,1185
,Total area actually reporting,1,2908,25,170,724,1989,14274,2628,9155,2491
,"Rate per 100,000 inhabitants",,529.1,4.5,30.9,131.7,361.9,2597,478.1,1665.7,453.2
"Monroe, LA M.S.A.",,200739, ,,,,, ,,,
,"Includes Morehouse, Ouachita, and Union Parishes",,,,,,,,,,
,City of Monroe,47746,843,9,37,171,626,3141,623,2339,179
,Total area actually reporting,0.965,1606,23,102,251,1230,8142,1862,5788,492
,Estimated total,1,1631,23,102,253,1253,8353,1903,5948,502
,"Rate per 100,000 inhabitants",,812.5,11.5,50.8,126,624.2,4161.1,948,2963.1,250.1
"Morgantown, WV M.S.A.",,140923, ,,,,, ,,,
,Includes Monongalia and Preston Counties,,,,,,,,,,
,City of Morgantown,31281,67,0,9,5,53,489,71,383,35
,Total area actually reporting,0.888,244,1,41,11,191,1515,309,1098,108
,Estimated total,1,288,1,46,16,225,1862,370,1363,129
,"Rate per 100,000 inhabitants",,204.4,0.7,32.6,11.4,159.7,1321.3,262.6,967.2,91.5
"Morristown, TN M.S.A.",,142399, ,,,,, ,,,
,"Includes Grainger, Hamblen, and Jefferson Counties",,,,,,,,,,
,City of Morristown,30044,255,2,16,18,219,1423,169,1140,114
